 ,reviewer,,author,categorization_mutono,year of publication,title,journal,volume issue,pages,country of focus,OCP,country programme,subnational area,Year data was collected,study population,population sample size,ecological features,vector species,baseline microfilarial prevalence,Baseline Community Microfialrial Load,baseline annual transmission potential,baseline nodule prevalence,baseline vector biting rate,MDA of ivermectin,vector control (Yes/No),Method of vector control (aerial larviciding or ground larviciding),vector elimination achieved (Yes.No),year ivermectin MDA started,year vector control started,number of years of ivermectin control,number of years of vector control,treatment frequency,year of change of frequency,geographical coverage,therapeutic coverage,year therapeutic coverage was more than 80,proportion compliance,proportion not adherening,Final outcome,type of elimination achieved,How elimination was verified,nodular prevalence,method nodular prevalence was measured,microfilarial prevalence ,How prevalence was calculated,No.of positive/no.of people tested for prevalence,Community Microfialrial Load,method microfilarial prevalence was measured,method used to confirm skin snip,Ov16 seropositivity in children,samples_collected_for_ov16,Poolscreen PCR testing,Dissection of vector population samples,fly infectivity rate,No.flies tested,other important data collected,co_endemicity,comments,MDA halted,atp,abr,years_biannual,years_over80
15,Anita,Mutono,"Kogi, E. and Bulus, W.",Close to elimination,2008,"The impact of ivermectin mass treatment on the prevalence of onchocerciasis by rapid epidemiological assessment in Galadimawa, Kaduna state, Nigeria",Science World Journal,3;1,NA,Nigeria,OCP,,Galadimawa village,2002,NR,700,NR,,48.26%,NR,NR,24.55%,,Yes,,,,1989,,12,NR,Annual,,,,,,,,,,7.57%,Nodule palpation using REA guidelines,-,-,-,NR,-,,,,,,,,"6.6% had leopard skin, 0.6% had hanging groin, 0.9% had blindness",,The study used the community-based REA method to determine oncho infection intensity,,,,,
16,Anita,Mutono,Evans et al,Close to elimination,2014,Status of Onchocerciasis transmission after more than a decade of mass drug administration for onchocerciasis and lymphatic filariasis elimination in central ‚Ä¶,PLOS Neglected Tropical Diseases,8;9,NA,Nigeria,APOC,,Plateau & Nasarawa States,2009,adults and children,739adults & 4451 children,,Simulium damnosum s.l,37.62% in male adults,NR,NR,41.8% in male adults,,Yes,,,,1992,1995,17,,Annual,,,>80%,1995,,,-,Interrupted transmission of oncho,WHO &APOC criteria were met,0.36%,Nodule palpation ,0.09%,No. positive / number examined *100,2/739,NR,two skin snips on iliac crest using corneo-scleral punches and incubated for 12-24 hours under sterile normal saline solution at room temperature,microscope,0.1% (UCL 0.38%),blood drops collected using Whatman No.2 filter paper,Yes,Yes,0%,1568,,LF treatment from 2000-2012,"Mean mf in children: 0%. OV16 IgG4 in adults: 3.52%. From 2000-2001, IVM was combined with ABZ to treat co-endemic LF.",,,,,14
17,Anita,Mutono,Katabarwa et al,Elimination of transmission,2016,The imaramagambo onchocerciasis focus in southwestern Uganda: Interruption of transmission after disappearance of the vector simulium neavei and its associated freshwater crabs,American Journal of Tropical Medicine and Hygiene,95;2,417-425,Uganda,APOC,Uganda Onchocerciasis Elimination Expert Advisory Committee (UOEEAC),Imaramagambo,2012-2015,"adults, children, crabs, flies",,forest,Simulium neavei,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,two skin snips on iliac crest using corneo-scleral punches and incubated for 12-24 hours under sterile normal saline solution at room temperature,"microscope, PCR",0% (UCL 0.06%),blood drops collected using Whatman No.2 filter paper,,,,,1756 crabs assessed and none was infested.,,"MDA discontinued in 2012, no recurdescence reported",Yes,,,,
18,Mutono,Ananthu,Borsboom et al,Ongoing transmission,2003,Impact of ivermectin on onchocerciasis transmission: assessing the empirical evidence that repeated ivermectin mass treatments may lead to elimination/eradication in West Africa,Filarial journal,02:08,,"Senegal, Guinea",OCP,,"River Gambia, Mako focus",2002,>5 years (excluding pregnant or very ill individuals),79,Savannah,Simulium sirbanum,60-80%,0-40 mf/s,16900,,4300,Yes,No,,No,1989,,12,-,Bi-annual,1989,100%,80%,,,,,,,,,,,,,sex and age standardized prevalence of mf in people 5 years and older,,,,,,,,,,CMFL is calculated as Average of the number of mf per skin snip in adults 20 years and older,,,,13,
18,Mutono,Ananthu,Borsboom et al,Ongoing transmission,2003,Impact of ivermectin on onchocerciasis transmission: assessing the empirical evidence that repeated ivermectin mass treatments may lead to elimination/eradication in West Africa,Filarial journal,02:08,,"Senegal, Mali",OCP,,Faleme focus,2002,>5 years (excluding pregnant or very ill individuals),341,Savannah,"Simulium sirbanum (predorminant), Simulium damnosum s.s, Simulium dieguerense, Simulium squamosum",13-64%,<10 mf/s,366,,8070,Yes,No,,No,1989,,12,,Yearly,,,80%,,,,,,,,,<5%,,,0-0.13mf/s,sex and age standardized prevalence of mf in people 5 years and older,,,,,Yes,,,,,21% savanna strain O.volvulus found in parasites,,,,,
18,Mutono,Ananthu,Borsboom et al,Ongoing transmission,2003,Impact of ivermectin on onchocerciasis transmission: assessing the empirical evidence that repeated ivermectin mass treatments may lead to elimination/eradication in West Africa,Filarial journal,02:08,,"Guinea, Mali",OCP,,Bafing focus,2002,>5 years (excluding pregnant or very ill individuals),341,Savannah,"Simulium sirbanum (predorminant), Simulium damnosum s.s, Simulium dieguerense, Simulium squamosum",32%,<23mf/s,<1000,,4600,Yes,No,,No,1989,,12,,Yearly,,,20-80%,,,,,,,,,<9%,,,<0.2mf/s,sex and age standardized prevalence of mf in people 5 years and older,,,,,Yes,,,,,ATP during the study period is 0-100,,,,,
18,Mutono,Ananthu,Borsboom et al,Ongoing transmission,2003,Impact of ivermectin on onchocerciasis transmission: assessing the empirical evidence that repeated ivermectin mass treatments may lead to elimination/eradication in West Africa,Filarial journal,02:08,,"Guinea, Mali",OCP,,Bakoye focus,2002,>5 years (excluding pregnant or very ill individuals),341,Savannah,"Simulium sirbanum (predorminant), Simulium damnosum s.s, Simulium dieguerense, Simulium squamosum",32-63%,0.3-32mf/s,350,,4275,Yes,No,,No,1989,,12,,Yearly,,,70-80%,,,,,,,,,<9%,,,<0.2mf/s,sex and age standardized prevalence of mf in people 5 years and older,,,,,Yes,,,,,39% O.volvulus savanna strain found in parasites,,,,,
18,Mutono,Ananthu,Borsboom et al,Ongoing transmission,2003,Impact of ivermectin on onchocerciasis transmission: assessing the empirical evidence that repeated ivermectin mass treatments may lead to elimination/eradication in West Africa,Filarial journal,02:08,,Cameroon,APOC,,Vina Valley focus,2002,>5 years (excluding pregnant or very ill individuals),,Savannah,"Simulium damnosum s.s(dorminant), Simulium Sirbanu, simulium squamosum",80%,50mf/s,1221,,24250-47450,Yes,No,,No,1988,,13,,Yearly,,,42-76%,,,,,,,,,20%,,,1 mf/s,sex and age standardized prevalence of mf in people 5 years and older,,,,,Yes,,,,,ATP during the study period is 200-500; ABR during the study period is >293,,>293,200-500,,
18,Mutono,Ananthu,Borsboom et al,Ongoing transmission,2003,Impact of ivermectin on onchocerciasis transmission: assessing the empirical evidence that repeated ivermectin mass treatments may lead to elimination/eradication in West Africa,Filarial journal,02:08,,Mali,OCP,,Tienfala focus,2002,>5 years (excluding pregnant or very ill individuals),18,Savannah,simulium sirbanum,11-80%,9-70 mf/s,700,,0 - >80000,Yes,Yes (OCP),Ground larviciding,No,1987,1994,14,7,Yearly,,,80%,,,,,,,,,<3%,,,~0 mf/s,sex and age standardized prevalence of mf in people 5 years and older,,,,,Yes,,,,,,,,,,
18,Mutono,Ananthu,Borsboom et al,Close to elimination,2003,Impact of ivermectin on onchocerciasis transmission: assessing the empirical evidence that repeated ivermectin mass treatments may lead to elimination/eradication in West Africa,Filarial journal,02:08,,Ghana,OCP,,Bui Gorge,2002,>5 years (excluding pregnant or very ill individuals),47,Savannah,"Simulium damnosum s.s, Simulium Sirbanum",60%,,,,7430-26400,Yes,Yes (OCP),Aerial larviciding,No,1987,1975,14,21,Yearly,Frequency changed to 3-monthly from 1994-1996,,>80%,,,,,,,,,<1%,,,,sex and age standardized prevalence of mf in people 5 years and older,,,,,Yes,,,,,,,,,2 (quarterly),
18,Mutono,Ananthu,Borsboom et al,Ongoing transmission,2003,Impact of ivermectin on onchocerciasis transmission: assessing the empirical evidence that repeated ivermectin mass treatments may lead to elimination/eradication in West Africa,Filarial journal,02:08,,Togo,OCP,,Titira and Kouporgou,2002,>5 years (excluding pregnant or very ill individuals),59,Savannah,"Simulium damnosum s.s, Simulium Sirbanum",53-89%,25mf/s,1000,,15000,Yes,Yes (OCP),,No,1988,1977,13,24,Yearly,,96%,80%,,,,,,,,,0-47%,,,,sex and age standardized prevalence of mf in people 5 years and older,,,,,Yes,,,,,,,,,,
18,Mutono,Ananthu,Borsboom et al,Ongoing transmission,2003,Impact of ivermectin on onchocerciasis transmission: assessing the empirical evidence that repeated ivermectin mass treatments may lead to elimination/eradication in West Africa,Filarial journal,02:08,,Guinea,OCP,,Milo and Sankarani,2002,>5 years (excluding pregnant or very ill individuals),170,Forest&Savannah,"Simulium sirbanum, simulium damnosium, Simulium squamosum, Simulium yahense",4.4-87%,1.3-69mf/s,89-1930,,5430,Yes,Yes (OCP),Aerial larviciding,No,1989,1989,12,12,Yearly,,,20%,,,,,,,,,<10%,,,,sex and age standardized prevalence of mf in people 5 years and older,,,,,Yes,,,,,ATP during the study period was 0-120; ABR during the study period was 13900,,0-120,13900,,
18,Mutono,Ananthu,Borsboom et al,Ongoing transmission,2003,Impact of ivermectin on onchocerciasis transmission: assessing the empirical evidence that repeated ivermectin mass treatments may lead to elimination/eradication in West Africa,Filarial journal,02:08,,Ghana,OCP,,Asubende,2002,>5 years (excluding pregnant or very ill individuals),,Savannah,"Simulium sirbanum, Simulium damnosium, Simulium squamosum, Simulium yahense",<90%,>70mf/s,,,3000-40000,Yes,Yes (OCP),Ground larviciding,No,1987,1990,14,11,Yearly,,80%,76%,,,,,,,,,<5%,,,~0 mf/s,sex and age standardized prevalence of mf in people 5 years and older,,,,,,,,,,"ABR during the study period was 200; In 1996, changed from mobile treatment to CDTI",,,200,,
18,Mutono,Ananthu,Borsboom et al,Ongoing transmission,2003,Impact of ivermectin on onchocerciasis transmission: assessing the empirical evidence that repeated ivermectin mass treatments may lead to elimination/eradication in West Africa,Filarial journal,02:08,,Burkina Faso,OCP,,Dienkoa,2002,>5 years (excluding pregnant or very ill individuals),,Savannah,"Simulium damnosum s.s, Simulium Sirbanum",68%,13.9mf/s,1200,,3700,Yes,Yes (OCP),Ground larviciding,No,1988,1975,13,26,Yearly,,,85%,,,,,,,,,,,,,sex and age standardized prevalence of mf in people 5 years and older,,,,,,,,Aerial larviciding since 1975 but ground larviciding from 1990,,"Aerial larvaciding took place intermittently since 1975; ABR decreased to 1750;This paper recommends that stopping ivermecting distribution when low levels of infection and low, but not yet zero prevalences are attained may result in very serious problems",,,1750,,
19,Mutono,Ananthu,Djune-Yemeli et al,Ongoing transmission,2022,Relationship between skin snip and Ov16 ELISA: Two diagnostic tools for onchocerciasis in a focus in Cameroon after two decades of ivermectin-based preventive chemotherapy,PLOS Neglected Tropical Diseases,16(5),,Cameroon,APOC,,Bafia health district,2019,>=2 years,342,forest-savannah,,24.40%,,,,,Yes,No,,No,,,20,,Yearly,,,,,27%,41%,,,,,,23.40%,,,16.7mf/s,"2mm holth punch, kept at sterile normal saline solution and incubated at room temperature for 24 hours",microscope,38.30%,blood drops collected using TropBio filter paper,,,,,,,Ov16 seropositivity in the whole study population was 53.2%,,,,,
20,Mutono,Ananthu,Johanns et al,Ongoing transmission,2022,Onchocera volvulus-specific antibody and cellular responses in onchocerciasis patients treated annually with ivermectin for 30 years and exposed to parasite transmission in central Togo,PLOS Neglected Tropical Diseases,16(5),,Togo,OCP,National Onchocerciasis Control Program,Region Centrale,2019,Permanent residents in the study area,32,,Simulium damnosum s.l,52.20%,55mf/s,,,,Yes,Yes (OCP),Aerial larviciding,No,1989,1976,30,31,Yearly,Frequency changed to bi-annually from 2003-2012 in a section of the study area (Mo river basin),,,,,,,,,,,1.40%,,x/124,,2mm cornea scleral punch (Holth/Walser-type) immersed in saline and stored at room temperature in a high humidity atmostphere. They were incubated for 24 hours,microscope,,,,Yes,0.454,6350,Blackflies Ov33 was 1.06%,"Palsmodium falciparum-28%, entamoeba histolytica-17%, necator americanus-17%",ABR at end of study period was 12688 and prevalence of Ov150 DNA in Simuliidae was 0.45% (17/158),,,12688,9,
21,Mutono,Ananthu,Kamga et al,Ongoing transmission,2016,Still mesoendemic onchocerciasis in two Cameroonian community-directed treatment with ivermectin projects despite more than 15 years of mass treatment,Parasites & Vectors,0.778472222,,Cameroon,APOC,National Onchocerciasis Control Program,Bafia health districts,2015,"Permanent residents/lived in the community for at least 5 years, and aged 5 years and above",514,forest-savannah,,90.30%,63mf/s among adults 20 years or more,,,,Yes,No,,No,1999,,15,,Yearly,,65%,68%,,40%,21%,,,,18.10%,115/514,41.60%,No. of mf positive individuals/population tested,196/514,0.9mf/s,two skin snips on iliac crest using 2mm Hoth-punch and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,Cuteneous sign prevalence was 2.3%,,,,,,,
21,Mutono,Ananthu,Kamga et al,Ongoing transmission,2016,Still mesoendemic onchocerciasis in two Cameroonian community-directed treatment with ivermectin projects despite more than 15 years of mass treatment,Parasites & Vectors,0.778472222,,Cameroon,APOC,National Onchocerciasis Control Program,Yabassi health districts,2015,"Permanent residents/lived in the community for at least 5 years, and aged 5 years and above",242,forest-savannah,,87.20%,25mf/s among adults 20 years or more,,,,Yes,No,,No,1998,,16,,Yearly,,65%,66%,,54%,22%,,,,2.70%,10/242,43.80%,No. of mf positive individuals/population tested,109/242,1.2mf/s,two skin snips on iliac crests using 2mm Hoth-punch and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,Cuteneous sign prevalence was 9.3%,,,,,,,
22,Mutono,Ananthu,Kamga et al,Ongoing transmission,2017,Important progress towards elimination of onchocerciasis in the West Region of Cameroon,Parasites & Vectors,0.675694444,,Cameroon,APOC,National Onchocerciasis Control Program,Bafang health district,2015,"Permanent residents/lived in the community for at least 5 years, and aged 5 years and above",328,forest-savannah,,70.50%,4.8mf/s,,,,Yes,No,,No,1996,,19,,Yearly,,,64%,,39%,34%,,,,1.50%,11/328,1.50%,No. of mf positive individuals/population tested,10/328,0.1mf/s,two skin snips on the iliac crest using 2mm Hoth-punch and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,"Among the carriers, nodules were mainly found in pelvic grid (53%), rib grid (14%), back (11%), head (9%) and knee (8%)",,"Reported by Katabarwa et al in 2011, the annual biting rate is 125,360 whereas the annual transmission potential is 310",,310,125360,,
22,Mutono,Ananthu,Kamga et al,Ongoing transmission,2017,Important progress towards elimination of onchocerciasis in the West Region of Cameroon,Parasites & Vectors,0.675694444,,Cameroon,APOC,National Onchocerciasis Control Program,Bandja Health district,2015,"Permanent residents/lived in the community for at least 5 years, and aged 5 years and above",136,forest-savannah,,75.30%,7.1mf/s,,,,Yes,No,,No,1996,,19,,Yearly,,,85%,2010,67%,12%,,,,0%,0/136,2%,No. of mf positive individuals/population tested,3/136,0.0mf/s,two skin snips on the iliac crest using 2mm Hoth-punch and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,"Among the carriers, nodules were mainly found in pelvic grid (53%), rib grid (14%), back (11%), head (9%) and knee (8%)",,"Reported by Katabarwa et al in 2011, the annual biting rate is 125,360 whereas the annual transmission potential is 310",,310,125360,,5
22,Mutono,Ananthu,Kamga et al,Ongoing transmission,2017,Important progress towards elimination of onchocerciasis in the West Region of Cameroon,Parasites & Vectors,0.675694444,,Cameroon,APOC,National Onchocerciasis Control Program,Bandjoun health district,2015,"Permanent residents/lived in the community for at least 5 years, and aged 5 years and above",371,forest-savannah,,84.50%,17.7mf/s,,,,Yes,No,,No,1996,,19,,Yearly,,,61%,,35%,35%,,,,0.90%,5/371,3.30%,No. of mf positive individuals/population tested,17/371,0.1mf/s,two skin snips on the iliac crest using 2mm Hoth-punch and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,"Among the carriers, nodules were mainly found in pelvic grid (53%), rib grid (14%), back (11%), head (9%) and knee (8%)",,"Reported by Katabarwa et al in 2011, the annual biting rate is 125,360 whereas the annual transmission potential is 310",,310,125360,,
22,Mutono,Ananthu,Kamga et al,Ongoing transmission,2017,Important progress towards elimination of onchocerciasis in the West Region of Cameroon,Parasites & Vectors,0.675694444,,Cameroon,APOC,National Onchocerciasis Control Program,Bangangte health district,2015,"Permanent residents/lived in the community for at least 5 years, and aged 5 years and above",280,forest-savannah,,81.30%,7.8mf/s,,,,Yes,No,,No,1996,,19,,Yearly,,,67%,,47%,31%,,,,1%,10/280,2%,No. of mf positive individuals/population tested,6/280,0.05mf/s,two skin snips on the iliac crest using 2mm Hoth-punch and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,"Among the carriers, nodules were mainly found in pelvic grid (53%), rib grid (14%), back (11%), head (9%) and knee (8%)",,"Reported by Katabarwa et al in 2011, the annual biting rate is 125,360 whereas the annual transmission potential is 310",,310,125360,,
22,Mutono,Ananthu,Kamga et al,Ongoing transmission,2017,Important progress towards elimination of onchocerciasis in the West Region of Cameroon,Parasites & Vectors,0.675694444,,Cameroon,APOC,National Onchocerciasis Control Program,Foumbot health district,2015,"Permanent residents/lived in the community for at least 5 years, and aged 5 years and above",410,forest-savannah,,79.00%,24.2mf/s,,,,Yes,No,,No,1996,,19,,Yearly,,,72%,,24%,24%,,,,2.40%,13/410,4.70%,No. of mf positive individuals/population tested,18/410,0.3mf/s,two skin snips on the iliac crest using 2mm Hoth-punch and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,"Among the carriers, nodules were mainly found in pelvic grid (53%), rib grid (14%), back (11%), head (9%) and knee (8%)",,"Reported by Katabarwa et al in 2011, the annual biting rate is 125,360 whereas the annual transmission potential is 310",,310,125360,,
22,Mutono,Ananthu,Kamga et al,Ongoing transmission,2017,Important progress towards elimination of onchocerciasis in the West Region of Cameroon,Parasites & Vectors,0.675694444,,Cameroon,APOC,National Onchocerciasis Control Program,Kekem health district,2015,"Permanent residents/lived in the community for at least 5 years, and aged 5 years and above",231,forest-savannah,,83.50%,6.8mf/s,,,,Yes,No,,No,1996,,19,,Yearly,,,75%,,42%,15%,,,,1%,3/231,2%,No. of mf positive individuals/population tested,6/231,0.0mf/s,two skin snips on the iliac crest using 2mm Hoth-punch and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,"Among the carriers, nodules were mainly found in pelvic grid (53%), rib grid (14%), back (11%), head (9%) and knee (8%)",,"Reported by Katabarwa et al in 2011, the annual biting rate is 125,360 whereas the annual transmission potential is 310",,310,125360,,
22,Mutono,Ananthu,Kamga et al,Ongoing transmission,2017,Important progress towards elimination of onchocerciasis in the West Region of Cameroon,Parasites & Vectors,0.675694444,,Cameroon,APOC,National Onchocerciasis Control Program,Massangam health district,2015,"Permanent residents/lived in the community for at least 5 years, and aged 5 years and above",302,forest-savannah,,91.10%,18.8mf/s,,,,Yes,No,,No,1996,,19,,Yearly,,,79%,,56%,17%,,,,7%,31/302,19%,No. of mf positive individuals/population tested,65/302,0.4mf/s,two skin snips on the iliac crest using 2mm Hoth-punch and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,,,,,,,"Among the carriers, nodules were mainly found in pelvic grid (53%), rib grid (14%), back (11%), head (9%) and knee (8%)",,"Reported by Katabarwa et al in 2011, the annual biting rate is 125,360 whereas the annual transmission potential is 310",,310,125360,,
23,Mutono,Ananthu,Katabarwa et al,Elimination of transmission,2012,Transmission of onchocerciasis in Wadelai Focus of Northwestern Uganda has been Interrupted and the disease eliminated,,2012,,Uganda,APOC,,Wadelai focus,2010,20 years or older and have lived in the community for at least 20 years; children 3-14 years,"513 adults, 3011 children",,"Simulium damnosum s.l, Simulium neavei",24%,,,50%,,Yes,No,,Yes,1993,,17,,Yearly,Frequency changed to bi-annually from 2007-201,,90%,1995,,,Elimination,Transmission of onchocerciasis has been interrupted,Ov16 antibody prevalence in children 3-14 years (ELISA and skin snip PCR on Ov16 positive children) and testing for L3 in vector black flies and crabs,0.20%,1/513,0%,No. of mf positive individuals/population tested,0/513,,two skin snips using tip of a sterile lancet needle to elevate 3-4 mm of skin and incubated in a saline solution for 12-24h in room temperature,microscope,0.03%,blood drops collected using Whatman No.2 filter paper,Yes,Yes,,,"Skin snips from children who were positive with OV-16 were subjected to 0-150 PCR analysis and only 1 skin snip was positive, 11 crabs were caught and none was infested with S.neavei larval stages, fly and crab population has reduced in the area heading to extinction possibly due to environmental changes",Lymphatic filariasis,"Residents have no knowledge on black flies, showing that there is loss of suitable vector habitat, MDA not halted due to co-endemicity",No-co-endemicity,,,4,15
24,Mutono,Ananthu,Lakwo et al,Elimination of transmission,2016,"Interruption of the transmission of onchocerca volvulus in the Kashoya0Kitomi focus, western Uganda by long-term ivermectin treatment and elimination of the vector simulium naevi by larviciding",Acta Tropica,167,128-136,Uganda,APOC,Uganda Onchocerciasis Control Program,Kashoya-Kitomi focus,2013,children <10 years,3246 children,forest,Simulium neavei,85%,,,,,Yes,Yes (APOC),Ground larviciding,Yes,1991,2007,21,5,Yearly,Frequency changed to bi-annual from 2007-2012 when treatment was halted,,95%,2001,,,Elimination,Transmission of onchocerciasis has been interrupted,Ov16 antibody prevalence in children <10 years (ELISA and skin snip PCR on Ov16 positive children) and testing for L3 in vector black flies and crabs,,,0.50%,No. of mf positive individuals/population tested,4/883,,two skin snips on the iliac crest using tip of a sterile lancet needle to elevate 3-4 mm of skin and incubated in a saline solution for 12-24h in room temperature,microscope,"0.15% (CI 0.02% -0.28%), but negative for O-150 PCR skin snip",blood drops collected using filter paper,,,,,"Skin snips from children who were positive with OV-16 were subjected to 0-150 PCR analysis and were all negative, 25 crabs were caught and 0% were infested, no S. neavei flies caught from 2009",,MDA is halted,Yes,,,5,12
25,Mutono,Ananthu,Luroni et al,Elimination of transmission,2017,"The interruption of onchocerca volvulus and Wuchereria bancrofti transmission by integrated chemotherapy in the Obongi focus, North Western Uganda",PLOS ONE,12(2),,Uganda,APOC,,Obongi focus,2014,Adults and children 4-<10 years,3308 children,,Simulium damnosum s.l,58%,9.7mf/s,,,,Yes,No,,Yes,1993,,21,,Yearly,,,95%,"2000, with exception of 2003, 2009-2011",,,Elimination,Transmission of onchocerciasis has been interrupted,Ov16 antibody prevalence in children 4-<10 years (ELISA and skin snip PCR on Ov16 positive children) and testing for L3 in vector black flies,0.20%,2/807 (adults),Adults: 0.1%; Children: 0%,No. of mf positive individuals/population tested,Adults: 1/807; children: 0/106,,two skin snips from the posterior iliac crest for every adult and incubated for 12 hours in normal saline solution,microscope,0.09% but negative for confirmatory test,blood drops collected using filter paper,,,,,"Positive samples for 0v-16 were retested with plates coated with Ov-16 GST and with control GST where all were negative with this confirmatory assay (0.0% UCL 0.06%), No flies collected between 2012 -2016",Lymphatic filariasis,MDA halted in 2014,Yes,,,,12
26,Mutono,Ananthu,Moya et al,Close to elimination,2016,"Evidence for suppression of onchocerciasis transmission in Bioko Island, Equatorial Guinea",PLOS Neglected Tropical Diseases,10(7),,Equatorial Guinea,OCP,,Bioko Island,2014,5 years and above who had permanently lived in study are for the last 5 years; children 5-9 years old,544,,Simulium yahense,75.00%,28.2mf/s,,,,Yes,Yes (OCP),Aerial larviciding,Almost,1989,2005,25,1,Yearly,,,,,,50.40%,Elimination,Transmission of onchocerciasis may have been interrupted,Ov16 antibody prevalence in children 5-9 years,3%,16/528,"0% using microscope, 0.6% using PCR",No. of mf positive individuals/population tested,0/542,,"three skin snips collected from every participant (two right iliac crest, one from left iliac crest) and immersed in normal saline solution, incubated and tested after 24 hours",microscope and PCR,0% (0/124),blood drops collected using Whatman No.2 filter paper,,,,,"15% of the study participants presented itching at the time of answering the questionnaire, 1.3% had clinical signs of onchodermatitis, 1.8% had any degree of leopard skin, of the study participants, 50% had never taken ivermectin, when testing PCR 5% had mansonella pertans 1% had mansonella streptocerca and 0.6% had loa loa",,,,,,,
27,Mutono,Ananthu,Osue Hudu,Ongoing transmission,2017,Field-Based Evidence of Single and Few Doses of Annual Ivermectin Treatment Efficacy in Eliminating Skin Microfilarial Load after a Decade of Intervention,Ethiopian Journal of Health Sciences,27(2),,Nigeria,APOC,,Gurara river basin,2004,>13 years,438,,,,,,,,Yes,No,,No,1994,,10,,Yearly,,,82%,,,18%,,,,6.80%,28/438,4.60%,No. of mf positive individuals/population tested,16/438,0.06mf/s,skin snips from the iliac crest for individual and incubated for 24 hours in normal saline solution,microscope,,,,,,,"15% reported itching, 4% had leopard skin, 4% had onchocercal skin changes, 8% had visual impairment, 2% had blindness",,"This study was conducting a RCT, comparing communities that had MDA and the ones that did not. Ensure you focus on the sentinel sites that has MDA",,,,,
28,Mutono,Ananthu,Otabil et al,Ongoing transmission,2019,Prevalence of onchocerciasis and associated clinical manifestations in selected hypoendemic communities in Ghana following long-term administration of ivermectin,BCM Infectious Diseases,1.090972222,,Ghana,OCP,,Nkoranza North district,2017,18-95 years,114,,,,,,,,Yes,No,,No,,,19,,Yearly,,,,,,,,,,7.90%,9/114,6%,No. of mf positive individuals/population tested,7/114,,two skin snips taken from the iliac crest using a corneoscleral punch,microscope,,,,,,,"25% had dermatitis, 8% had visual impairment, 4% were blind (12% had ocular oncerciaciasis), migration is present",,4% (5/114)of the study participants had blindness,,,,,
29,Mutono,Anita,Siewe et al,Elimination of transmission,2019,Low prevalence of epilepsy and onchocerciasis after more than 20 years of ivermectin treatment in the Imo River Basin in Nigeria,Infectious Diseases of Poverty,08:08,,Nigeria,APOC,,Imo River Basin,2018,whole population,843,,Simulium damnosum s.l,,,,,,Yes,No,,No,1994,,13,,Bi-annual,Frequency changed to bi-annual since 2015,,80%,,,,,,,,,4.60%,No. of mf positive individuals/population tested,Apr-87,2mf/s,two skin snips in iliac crest using 2mm Hoth-punch and incubated for 24 hours under sterile normal saline solution at room temperature,microscope,0% (0/52),,,,,,"OV-16 RDT kit used, epilepsy suspected prevalence rate of 5% and confirmatory epilepsy of 0.5%, no nodding seizures, no person with epilepsy was stunted, a low epilepsy-mortality of 0.1%",,"A case of epilepsy was defined as a person who had expe- rienced at least two seizures, unprovoked and without fever, with a minimal time difference of 24h between the two events",,,,6,
30,Mutono,Anita,Traore et al,Elimination of transmission,2012,Proof-of-principle of Onchocerciasis Elimination with Ivermectin Treatment in Endemic Foci in Africa: Final Results of a study in Mali and Senegal,PLOS Neglected Tropical Diseases,6(9),,Mali,APOC,,River Bakoye,2009-2011,>1 year,3520,,"Simulium sirbanum, Simulium damnosum s.s, Simulium dieguerense",43.43%,10.2-21.6mf/s,,,,No,No,,,1989,,15,,Yearly,,,89%-100%,1992,,,Elimination,Transmission of onchocerciasis has been interrupted,mf prevalence of <1% in 90% of sample villages and prevalence of <5% in 100% of sample villages; vector infectivity threshold of <0.5 L3 larvae in the head /1000 flies,,,0% (95% CI 0%-0.1%),"No. of mf positive individuals/population tested: percentage of examined persons who
had microfilariae in at least one skin snip",0/3520,,two skin snips in the iliac crest using 2mm Hoth-punch and incubated for 30 minutes in distilled water and another 24 hours under sterile normal saline solution at room temperature,microscope,,,Yes,Yes,0 (UCL 0.03%),56700,"Transmission is limited to the rainy season, PTS",,"MDA ended in 2007, no evidence of recurdescence of infection",Yes-PTS,,,,19
